Station Name,Latitude,Longitude
A00776,46.94246996,-121.2251146
A00777,46.94226555,-121.2119816
A00778,46.94205964,-121.1988487
A00779,46.94185223,-121.185716
A00780,46.94164331,-121.1725834
A00781,46.96503645,-123.2092668
A00782,46.96505972,-123.196122
A00783,46.96508148,-123.1829771
A00784,46.96510173,-123.1698323
A00785,46.96512047,-123.1566874
A00786,46.9651377,-123.1435425
A00787,46.96515343,-123.1303977
A00788,46.96516764,-123.1172528
A00789,46.96518035,-123.1041079
A00790,46.96519155,-123.0909629
A00791,46.96520123,-123.077818
A00792,46.96520941,-123.0646731
A00793,46.96521608,-123.0515282
A00794,46.96522124,-123.0383832
A00795,46.9652249,-123.0252383
A00796,46.96522704,-123.0120933
A00797,46.96522767,-122.9989484
A00798,46.9652268,-122.9858035
A00799,46.96522441,-122.9726585
A00800,46.96522052,-122.9595136
A00801,46.96521512,-122.9463686
A00802,46.96520821,-122.9332237
A00803,46.96519979,-122.9200788
A00804,46.96518986,-122.9069339
A00805,46.96517842,-122.893789
A00806,46.96516547,-122.8806441
A00807,46.96515101,-122.8674992
A00808,46.96513505,-122.8543543
A00809,46.96511757,-122.8412094
A00810,46.96509859,-122.8280645
A00811,46.9650781,-122.8149197
A00812,46.9650561,-122.8017749
A00813,46.96503258,-122.7886301
A00814,46.96500756,-122.7754853
A00815,46.96498104,-122.7623405
A00816,46.964953,-122.7491957
A00817,46.96492345,-122.736051
A00818,46.9648924,-122.7229063
A00819,46.96485983,-122.7097616
A00820,46.96482576,-122.6966169
A00821,46.96479017,-122.6834723
A00822,46.96475308,-122.6703276
